epoch	test
地点别名	100.0	90.9090909090909	95.23809523809523
归附&降	100.0	100.0	100.0
杀	88.88888888888889	100.0	94.11764705882352
任职&爵位&谥号	99.6551724137931	99.3127147766323	99.48364888123923
打败	100.0	93.33333333333333	96.55172413793103
隶属于	100.0	40.0	57.14285714285715
同僚	52.38095238095239	84.61538461538461	64.70588235294117
投靠	100.0	50.0	66.66666666666666
旧臣	100.0	100.0	100.0
修建	100.0	100.0	100.0
攻伐	81.69014084507043	90.625	85.92592592592592
位于	97.36842105263158	92.5	94.87179487179489
封&赐官	86.95652173913044	80.0	83.33333333333333
政治奥援	37.5	33.33333333333333	35.294117647058826
救援	100.0	100.0	100.0
别名	100.0	93.33333333333333	96.55172413793103
作者	100.0	100.0	100.0
其他	55.55555555555556	41.66666666666667	47.61904761904762
管理	93.75	93.75	93.75
母	100.0	100.0	100.0
生于（地点）	94.11764705882352	91.42857142857143	92.75362318840578
辅佐	0.0	0	0
游历&途经	100.0	100.0	100.0
祖孙	87.5	100.0	93.33333333333333
死于	0.0	0	0
离开	100.0	100.0	100.0
死于（时间）	100.0	100.0	100.0
合作	20.0	50.0	28.571428571428577
旧属	100.0	76.92307692307693	86.95652173913044
见面	91.66666666666666	91.66666666666666	91.66666666666666
兄弟	76.19047619047619	84.21052631578947	80.0
同师事	0.0	0	0
交谈	76.47058823529412	56.52173913043478	65.0
夫妻	50.0	100.0	66.66666666666666
到达	97.22222222222221	100.0	98.59154929577464
请求	50.0	66.66666666666666	57.14285714285715
派遣	87.5	93.33333333333333	90.32258064516128
死于（地点）	0.0	0.0	0
害怕	100.0	100.0	100.0
父	86.95652173913044	90.9090909090909	88.8888888888889
设置	87.5	87.5	87.5
治所	100.0	100.0	100.0
属地	92.95774647887323	100.0	96.35036496350364
p	78.87970980156997
r	78.4311285660792
f	77.5580685143131
acc	89.65517241379311

