epoch	test
政治奥援	44.44444444444444	44.44444444444444	44.44444444444444
害怕	100.0	100.0	100.0
母	100.0	100.0	100.0
交谈	85.0	73.91304347826086	79.06976744186046
攻伐	80.0	68.75	73.94957983193278
乘	0.0	0	0
救援	100.0	100.0	100.0
见面	91.66666666666666	91.66666666666666	91.66666666666666
合作	16.666666666666664	50.0	25.0
修建	100.0	100.0	100.0
生于（地点）	100.0	94.28571428571428	97.05882352941177
死于（时间）	100.0	100.0	100.0
属地	95.65217391304348	100.0	97.77777777777777
夫妻	50.0	100.0	66.66666666666666
其他	46.34146341463415	31.666666666666664	37.62376237623763
位于	92.6829268292683	95.0	93.82716049382715
归附&降	40.0	100.0	57.14285714285715
离开	100.0	66.66666666666666	80.0
同师事	0.0	0	0
治所	100.0	100.0	100.0
派遣	93.18181818181817	91.11111111111111	92.13483146067416
封&赐官	91.30434782608695	84.0	87.49999999999999
父	74.07407407407408	90.9090909090909	81.63265306122449
地点别名	100.0	100.0	100.0
投靠	50.0	50.0	50.0
兄弟	68.18181818181817	78.94736842105263	73.17073170731707
管理	95.45454545454545	98.4375	96.92307692307692
隶属于	100.0	40.0	57.14285714285715
伯父	0.0	0	0
祖孙	58.333333333333336	100.0	73.68421052631578
作者	100.0	100.0	100.0
请求	33.33333333333333	66.66666666666666	44.44444444444444
旧属	100.0	92.3076923076923	96.00000000000001
御	0.0	0	0
打败	87.5	93.33333333333333	90.32258064516128
同僚	58.82352941176471	76.92307692307693	66.66666666666667
师	0.0	0	0
旧臣	100.0	100.0	100.0
任职&爵位&谥号	99.3127147766323	99.3127147766323	99.3127147766323
设置	85.71428571428571	75.0	80.0
常从士	0.0	0	0
杀	93.75	93.75	93.75
死于（地点）	50.0	100.0	66.66666666666666
到达	100.0	100.0	100.0
杀父	0.0	0	0
游历&途经	100.0	66.66666666666666	80.0
别名	100.0	100.0	100.0
p	69.81740728132802
r	72.63315794305836
f	69.65061575303659
acc	88.50574712643679

epoch	test
攻伐	80.0	68.75	73.94957983193278
父	74.07407407407408	90.9090909090909	81.63265306122449
伯父	0.0	0	0
打败	87.5	93.33333333333333	90.32258064516128
旧属	100.0	92.3076923076923	96.00000000000001
见面	91.66666666666666	91.66666666666666	91.66666666666666
死于（时间）	100.0	100.0	100.0
位于	92.6829268292683	95.0	93.82716049382715
作者	100.0	100.0	100.0
乘	0.0	0	0
杀父	0.0	0	0
设置	85.71428571428571	75.0	80.0
师	0.0	0	0
隶属于	100.0	40.0	57.14285714285715
地点别名	100.0	100.0	100.0
到达	100.0	100.0	100.0
救援	100.0	100.0	100.0
投靠	50.0	50.0	50.0
害怕	100.0	100.0	100.0
生于（地点）	100.0	94.28571428571428	97.05882352941177
夫妻	50.0	100.0	66.66666666666666
游历&途经	100.0	66.66666666666666	80.0
常从士	0.0	0	0
祖孙	58.333333333333336	100.0	73.68421052631578
同僚	58.82352941176471	76.92307692307693	66.66666666666667
别名	100.0	100.0	100.0
交谈	85.0	73.91304347826086	79.06976744186046
修建	100.0	100.0	100.0
派遣	93.18181818181817	91.11111111111111	92.13483146067416
同师事	0.0	0	0
归附&降	40.0	100.0	57.14285714285715
任职&爵位&谥号	99.3127147766323	99.3127147766323	99.3127147766323
属地	95.65217391304348	100.0	97.77777777777777
管理	95.45454545454545	98.4375	96.92307692307692
合作	16.666666666666664	50.0	25.0
治所	100.0	100.0	100.0
母	100.0	100.0	100.0
请求	33.33333333333333	66.66666666666666	44.44444444444444
旧臣	100.0	100.0	100.0
离开	100.0	66.66666666666666	80.0
封&赐官	91.30434782608695	84.0	87.49999999999999
御	0.0	0	0
其他	46.34146341463415	31.666666666666664	37.62376237623763
兄弟	68.18181818181817	78.94736842105263	73.17073170731707
死于（地点）	50.0	100.0	66.66666666666666
杀	93.75	93.75	93.75
政治奥援	44.44444444444444	44.44444444444444	44.44444444444444
p	69.81740728132802
r	72.63315794305836
f	69.65061575303659
acc	88.50574712643679

